Company Name ,Account Number,Country ,Reporting Year,Ticker Symbol ,ISIN ,Disclosure Score,Performance Band,Parent Account ,Permission,Response Status,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e),Country Location
3M Company,285,USA,2013,MMM US,US88579Y1010,70,D,,Public,AQ*,4540000,2230000,"(37.09024, -95.712891)"


ABB,282,Switzerland,2013,ABBN VX,CH0012221716,82,B,,Public,AQ*,819000,857000,"(46.818188, 8.227512)"
Abbott Laboratories,64,USA,2013,ABT US,US0028241000,84,B,,Public,AQ*,470781,537821,"(37.09024, -95.712891)"
Accenture,21318,Ireland,2013,ACN US,IE00B4BNMY34,92,B,,Public,AQ*,9383,224615,"(53.41291, -8.24389)"
Ace Ltd.,21320,Switzerland,2013,ACE US,CH0044328745,93,A,,Public,AQ*,12912,39791,"(46.818188, 8.227512)"
adidas AG,21380,Germany,2013,ADS GR,DE000A1EWWW0,86,B,,Public,AQ*,12169,57551,"(51.165691, 10.451526)"
"Adobe Systems, Inc.",333,USA,2013,ADBE US,US00724F1012,97,A,,Public,AQ*,2744,22995,"(37.09024, -95.712891)"
Advanced Info Service,236,Thailand,2013,ADVANC TB,TH0268010Z03,,,,,NR,,,"(15.870032, 100.992541)"
AFLAC Incorporated,362,USA,2013,AFL US,US0010551028,85,B,,Public,AQ*,3884,18536,"(37.09024, -95.712891)"
AIA Group Ltd.,36633,Hong Kong,2013,1299 HK,HK0000069689,,,,,NR,,,"(22.396428, 114.109497)"
Air Liquide,432,France,2013,AI FP,FR0000120073,88,B,,Public,AQ*,11272000,10853000,"(46.227638, 2.213749)"
"Air Products & Chemicals, Inc.",435,USA,2013,APD US,US0091581068,99,B,,Public,AQ*,14767209,10563030,"(37.09024, -95.712891)"
Airbus Group,21770,Netherlands,2013,AIR FP,NL0000235190,97,B,,Public,AQ*,581115,432092,"(52.132633, 5.291266)"
AKBANK T.A.Ş.,449,Turkey,2013,AKBNK TI,TRAAKBNK91N6,,B,,Not public,AQ*,,,"(38.963745, 35.243322)"
Alexion Pharmaceuticals,36634,USA,2013,ALXN US,US0153511094,,,,,NR,,,"(37.09024, -95.712891)"
"Allergan, Inc.",533,USA,2013,AGN US,US0184901025,91,B,,Public,AQ*,49128,52049,"(37.09024, -95.712891)"
Allianz SE,593,Germany,2013,ALV GR,DE0008404005,97,A-,Allianz Group,Public,AQ*,83443,176675,"(51.165691, 10.451526)"
Allstate Corporation,582,USA,2013,ALL US,US0200021014,96,B,,Public,AQ*,40796,150401,"(37.09024, -95.712891)"
"Altria Group, Inc.",628,USA,2013,MO US,US02209S1033,75,C,,Public,AQ*,283926,236169,"(37.09024, -95.712891)"
Amazon.com Inc.,658,USA,2013,AMZN US,US0231351067,,,,,NR,,,"(37.09024, -95.712891)"
Ambev - Cia de Bebidas das Américas,667,Brazil,2013,AMBV4 BZ,BRAMBVACNPR1,66,C,,Public,AQ*,757236,235799,"(-14.235004, -51.92528)"
America Movil,645,Mexico,2013,AMXL MM,MXP001691213,,,,,NR,,,"(23.634501, -102.552784)"
"American Electric Power Company, Inc.",689,USA,2013,AEP US,US0255371017,68,D,,Public,AQ*,121927400,,"(37.09024, -95.712891)"
American Express,692,USA,2013,AXP US,US0258161092,87,C,,Public,AQ*,23371,142667,"(37.09024, -95.712891)"
"American International Group, Inc.",699,USA,2013,AIG US,US0268747849,62,D,,Not public,AQ*,,,"(37.09024, -95.712891)"
American Tower Corp.,706,USA,2013,AMT US,US03027X1000,,,,Not public,DP,,,"(37.09024, -95.712891)"
"Amgen, Inc.",716,USA,2013,AMGN US,US0311621009,76,B,,Public,AQ*,119968,286679,"(37.09024, -95.712891)"
Anadarko Petroleum Corporation,745,USA,2013,APC US,US0325111070,75,C,,Public,AQ*,5056818,535843,"(37.09024, -95.712891)"
Anglo American,772,United Kingdom,2013,AAL LN,GB00B1XZS820,96,A,,Public,AQ*,8470754,9403534,"(55.378051, -3.435973)"
Anheuser Busch InBev,22350,Belgium,2013,ABI BB,BE0003793107,85,A,,Public,AQ*,2459221,1588297,"(50.503887, 4.469936)"
Antofagasta,820,United Kingdom,2013,ANTO LN,GB0000456144,92,C,,Public,AQ*,645371,1539442,"(55.378051, -3.435973)"
Apache Corporation,804,USA,2013,APA US,US0374111054,70,C,,Public,AQ*,10766000,1314000,"(37.09024, -95.712891)"
Apple Inc.,865,USA,2013,AAPL US,US0378331005,,,,,NR,,,"(37.09024, -95.712891)"
Arcelor Mittal,904,Luxembourg,2013,MT NA,LU0323134006,88,B,,Public,AQ*,158192000,17256000,"(49.815273, 6.129583)"
Archer Daniels Midland,912,USA,2013,ADM US,US0394831020,,,,,NR,,,"(37.09024, -95.712891)"
ASML Holding,1048,Netherlands,2013,ASML NA,NL0010273215,,,,Public,DP,,,"(52.132633, 5.291266)"
Assicurazioni Generali Spa,1076,Italy,2013,G IM,IT0000062072,87,A,,Public,AQ*,17861.7,47876.6,"(41.87194, 12.56738)"
Associated British Foods,1085,United Kingdom,2013,ABF LN,GB0006731235,85,B,,Public,AQ*,2295328,1067934,"(55.378051, -3.435973)"
Astellas Pharma Inc.,1051,Japan,2013,4503 JP,JP3942400007,88,B,,Public,AQ*,85937,125398,"(36.204824, 138.252924)"
Astra International,1053,Indonesia,2013,ASII IJ,ID1000122807,32,,,Not public,AQ*,,,"(-0.789275, 113.921327)"
AstraZeneca,1104,United Kingdom,2013,AZN LN,GB0009895292,85,B,,Public,AQ*,340800,286200,"(55.378051, -3.435973)"
AT&T Inc.,1113,USA,2013,T US,US00206R1023,96,B,,Public,AQ*,948441,7894626,"(37.09024, -95.712891)"
Atlas Copco,1144,Sweden,2013,ATCOA SS,SE0000101032,93,B,,Public,AQ*,29464,75561,"(60.128161, 18.643501)"
Australia and New Zealand Banking Group,1187,Australia,2013,ANZ AU,AU000000ANZ3,92,A-,,Public,AQ*,16428,205462,"(-25.274398, 133.775136)"
"Automatic Data Processing, Inc.",1203,USA,2013,ADP US,US0530151036,83,C,,Public,AQ*,15500,157100,"(37.09024, -95.712891)"
Aviva,1268,United Kingdom,2013,AV/ LN,GB0002162385,79,B,,Public,AQ*,23849,75733,"(55.378051, -3.435973)"
AXA Group,1287,France,2013,CS FP,FR0000120628,94,A,,Public,AQ*,51886.1,119929.95,"(46.227638, 2.213749)"
Axiata Group Berhad,21419,Malaysia,2013,AXIATA MK,MYL6888OO001,,,,,NR,,,"(4.210484, 101.975766)"
BAE Systems,1344,United Kingdom,2013,BA/ LN,GB0002634946,69,C,,Public,AQ*,277920,590760,"(55.378051, -3.435973)"
Baker Hughes Incorporated,1356,USA,2013,BHI US,US0572241075,90,B,,Public,AQ*,516000,425000,"(37.09024, -95.712891)"
Banco Bradesco S/A,1395,Brazil,2013,BBDC4 BZ,BRBBDCACNPR8,76,C,,Public,AQ*,4780,30219,"(-14.235004, -51.92528)"
Banco do Brasil S/A,1405,Brazil,2013,BBAS3 BZ,BRBBASACNOR3,60,C,,Public,AQ*,7443.9,54348.16,"(-14.235004, -51.92528)"
Banco Santander,1441,Spain,2013,SAN SM,ES0113900J37,84,B,,Public,AQ*,31857,342928,"(40.463667, -3.74922)"
Banco Santander Brasil,31393,Brazil,2013,SANB3 BZ,BRSANBACNOR8,64,C,,Public,AQ*,15790,22861,"(-14.235004, -51.92528)"
Bank Central Asia,21417,Indonesia,2013,BBCA IJ,ID1000109507,,,,,NR,,,"(-0.789275, 113.921327)"
Bank Mandiri,22129,Indonesia,2013,BMRI IJ,ID1000095003,,,,,NR,,,"(-0.789275, 113.921327)"
Bank of America,1452,USA,2013,BAC US,US0605051046,98,A,,Public,AQ*,116666,1421829,"(37.09024, -95.712891)"
Bank of China,1451,China,2013,3988 HK,CNE1000001Z5,,,,,NR,,,"(35.86166, 104.195397)"
