company,penalty,lat,lon,city,industry,state
Action Manufacturing Company,1200000,39.9473,-75.9754,Atglen,aerospace & military contracting,Pennsylvania
Advanced Sterilization Products,136800,33.6772,-117.7738,Irvine,pharmaceuticals,California
Ag Processing Inc,96588,43.1487,-93.1998,Mason City,agribusiness,Iowa
Agrifos Fertilizer LLC,1800000,29.6584,-95.1499,Pasadena,biofuels; fertilizers,Texas
Agrifos Fertilizer LLC,385000,29.6584,-95.1499,Pasadena,biofuels; fertilizers,Texas
"Agrium, Inc.",70000,40.1438,-97.1765,Fairbury,fertilizers,Nebraska
Air Products LLC,1485000,29.6584,-95.1499,Pasadena,chemicals,Texas
AK Steel Corporation,1650000,38.4592,-82.6449,Ashland,metals,Kentucky
AK Steel Corporation,1300000,42.3127,-83.2129,Dearborn,metals,Michigan
Alcoa Inc.,334000000,30.6543,-97.0088,Rockdale,metals,Texas
Harrah's Chester Casino & Racetrack,63000,39.8456,-75.3719,Chester,casinos,Pennsylvania
Appolo Fuel,135000,36.6084,-83.7166,Middlesboro,coal mining,Kentucky
Ardagh Glass Inc.,225140,42.1477,-71.5167,Milford,packaging,Massachusetts
Arizona Public Service Company,3800000,36.7555,-108.1823,Farmington,utilities,New Mexico
Asarco LLC,146614,32.9995,-110.7814,Hayden,mining,Arizona
"Bartlett Grain Company, LLC",14560,39.2072,-93.5187,Waverly,agribusiness,Missouri
BASF Corp,1038048,42.2113,-83.1558,Wyandotte,chemicals,Michigan
Bayer CropScience LP,137790,39.1239,-94.5541,Kansas City,chemicals,Missouri
Bayer CropScience LP,13900,39.1239,-94.5541,Kansas City,chemicals,Missouri
"Berkshire Power Company, LLC",3500000,42.0695,-72.6148,Agawam,energy generation,Massachusetts
Big West Oil LLC,18428000,40.8439,-111.9188,North Salt Lake,retail-convenience stores,Utah
"BOSFuel Corp. and Swissport Fueling, Inc.",90000,42.3188,-71.0846,Boston,diversified,Massachusetts
BP North America Inc.,408000000,41.6731,-87.4843,Whiting,oil & gas,Indiana
Brad Foote Gear Works Inc.,1500000,41.8445,-87.7593,Cicero,wind power equipment,Illinois
Burlington Environmental,275000,47.3887,-122.2128,Kent,private equity (including portfolio companies),Washington
"C&S Wholesale Grocers, Inc.",126700,42.9494,-72.2997,Keene,wholesalers-food products,New Hampshire
C.A.I. Inc.,1400000,42.574,-70.9494,Danvers,paints & coatings,Massachusetts
"Cal-Maine Foods, Inc.",475000,32.3326,-90.6055,Edwards,food products,Mississippi
CalPortland Company,350000,32.4157,-111.1549,Rillito,building materials,Arizona
Cardington Yutaka Technologies,1715000,40.498,-82.8937,Cardington,automotive parts,Ohio
Cargill,265000,41.1591,-92.6297,Eddyville,agribusiness,Iowa
Cargill Corporation,45000,33.8841,-117.9279,Fullerton,agribusiness,California
Carmeuse Lime,475000,41.8373,-87.6861,Chicago,minerals,Illinois
Cascades Auburn Fiber,65000,44.085,-70.2492,Auburn,packaging,Maine
CCS (USA) Inc,2500000,32.4659,-93.7959,Shreveport,waste management,Louisiana
"CEMEX, Inc.",1000000,40.2232,-105.2694,Lyons,building materials,Colorado
"CEMEX de Puerto Rico, Inc.",1860000,18.012,-66.6198,Ponce,building materials,Puerto Rico
Cenex Harvest States (CHS),35200,43.7148,-96.5026,Garretson,agribusiness,South Dakota
CF Industries Inc.,176201500,28.0144,-82.12,Plant City,chemicals,Florida
CH2M HILL Plateau Remediation Company,131594,46.2826,-119.2938,Richland,construction & engineering,Washington
DuPont,2000000,38.2337,-81.5387,Belle,chemicals,West Virginia
DuPont,1102000,38.1662,-85.6488,Louisville,chemicals,Kentucky
DuPont,800000,39.2422,-81.6679,Washington,chemicals,West Virginia
DuPont,531000,39.6834,-75.4905,Deepwater,chemicals,New Jersey
E.I. du Pont de Nemours & Co.,724000,43.0105,-78.8805,Tonawanda,chemicals,New York
E.I. du Pont de Nemours & Co.,440000,43.0105,-78.8805,Tonawanda,chemicals,New York
E.I. du Pont de Nemours and Company,1275000,38.2337,-81.5387,Belle,chemicals,West Virginia
"E.I. DuPont de Nemours, Inc",250000,39.6834,-75.4905,Deepwater,chemicals,New Jersey
"Chemicals and Solvents, Inc. dba Chemsolv, Inc.",243967,37.2785,-79.958,Roanoke,wholesalers-chemicals,Virginia
Chemtura Corporation,55901,33.2184,-92.664,El Dorado,chemicals,Arkansas
Chevron,384000,40.7774,-111.9301,Salt Lake City,oil & gas,Utah
Chevron USA,7000000,33.9169,-118.4021,El Segundo,oil & gas,California
Chevron Phillips Chemical Company,3000000,29.6584,-95.1499,Pasadena,chemicals,Texas
Clean Harbors Deer Park LLC,22400,29.669,-95.0483,La Porte,waste management,Texas
"Clean Harbors El Dorado, L.L.C.",581236,33.2184,-92.664,El Dorado,waste management,Arkansas
"Clean Harbors Environmental Services, Inc.",150000,41.2336,-103.6512,Kimball,waste management,Nebraska
Coffeyville Resources Refining & Marketing,11720000,37.052,-95.6178,Coffeyville,diversified,Kansas
Coffeyville Resources Refining & Marketing,2302500,37.052,-95.6178,Coffeyville,diversified,Kansas
Coffeyville Resources Refining & Marketing,300000,37.052,-95.6178,Coffeyville,diversified,Kansas
Columbus Steel Castings Company,825000,39.986,-82.9852,Columbus,private equity (including portfolio companies),Ohio
"Columbus Manufacturing Inc., a wholly owned subsidiary of Columbus Foods LLC",6685446,37.6536,-122.4197,South San Francisco,meatpacking,California
"Combined Systems, Inc.",65000,41.4843,-80.437,Jamestown,private equity (including portfolio companies),Pennsylvania
"ConAgra Foods, Inc.",248513,44.7318,-92.8538,Hastings,food products,Minnesota
Ralcorp's Cottage Bakery,1375000,38.1218,-121.2932,Lodi,food products,California
Conopco Inc. dba Unilever Home and Personal Care,4500000,41.2763,-72.5305,Clinton,food products,Connecticut
Copar Quarries,80000,41.3944,-71.7541,Bradford,building materials,Rhode Island
"Cosmoflex, Inc.",80000,39.7097,-91.3936,Hannibal,automotive parts-tires,Missouri
CountryMark Refining and Logistics LLC,18180000,37.9364,-87.8955,Mount Vernon,agribusiness,Indiana
Crane-Hogan Structural Systems,500000,42.1014,-75.9093,Binghamton,construction & engineering,New York
Darigold Inc,42000,45.5372,-122.65,Portland,food products,Oregon
Davis Wire Corporation,1525000,34.1139,-118.4068,Los Angeles,diversified,California
DEGS of Narrows LLC,310000,37.3316,-80.8083,Narrows,utilities,Virginia
Delaware City Refining Company,73113,39.5743,-75.5939,Delaware City,oil & gas,Delaware
"DeMoulas Super Markets, Inc.",33736,42.6554,-71.1418,Andover,retail-supermarkets,Massachusetts
Deseret Generation & Transmission Co-operative,295000,40.4517,-109.5379,Vernal,power systems,Utah
Dico Inc.,3067787,41.5725,-93.6104,Des Moines,off-highway wheel and tire products,Iowa
Dominion Cove Point,365000,38.362,-76.4372,Lusby,utilities,Maryland
Domtar Paper,1959000,35.8588,-76.7487,Plymouth,paper products,North Carolina
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),15000,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),31500,42.8681,-106.2524,Evansville,oil & gas,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),7000,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),6000,44.8358,-108.3918,Lovell,minerals,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),35000,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),14000,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),20000,44.8358,-108.3918,Lovell,minerals,Wyoming
FISHER SAND & GRAVEL (CT-332),7000,41.4775,-105.6367,Wyoming,building materials,Wyoming
FISHER SAND & GRAVEL(CT-926),5000,44.4048,-104.3623,Sundance,building materials,Wyoming
SKANSKA USA CIVIL WEST ROCKY MNT DIST,5000,41.4775,-105.6367,Wyoming,construction & engineering,Wyoming
WHITING PETROLEUM_LUCKEY DITCH GAS PLANT,27000,41.2724,-110.3344,Mountain View,oil & gas,Wyoming
WHITING PETROLEUM_LUCKEY DITCH GAS PLANT,17500,41.2724,-110.3344,Mountain View,oil & gas,Wyoming
CHEVRON USA-TABLE ROCK GAS PLANT,22400,41.595,-109.2237,Rock Springs,oil & gas,Wyoming
BRIDGER COAL COMPANY _ JIM BRIDGER MINE,10000,41.595,-109.2237,Rock Springs,diversified,Wyoming
Dow Chemical Company,2500000,43.6239,-84.2315,Midland,chemicals,Michigan
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),20000,42.8681,-106.2524,Evansville,oil & gas,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),15000,42.8681,-106.2524,Evansville,oil & gas,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),379000,42.8681,-106.2524,Evansville,oil & gas,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),31500,42.8681,-106.2524,Evansville,oil & gas,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),9100,42.8681,-106.2524,Evansville,oil & gas,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),40000,42.8681,-106.2524,Evansville,oil & gas,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),25000,42.8681,-106.2524,Evansville,oil & gas,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),10000,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),68000,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),74000,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),23000,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),10000,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),10000,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),611598,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),205000,41.1406,-104.7926,Cheyenne,oil & gas,Wyoming
COLONY EAST AND WEST PLANTS (AMERICAN COLLOID COMPANY),7500,44.87,-104.1552,Colony,minerals,Wyoming
COLORADO INTERSTATE GAS-SINCLAIR METER,118718,41.7761,-107.1199,Sinclair,pipelines,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),42000,44.8358,-108.3918,Lovell,minerals,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),17500,44.8358,-108.3918,Lovell,minerals,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),10000,44.8358,-108.3918,Lovell,minerals,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),9500,44.8358,-108.3918,Lovell,minerals,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),5000,44.8358,-108.3918,Lovell,minerals,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),5000,44.8358,-108.3918,Lovell,minerals,Wyoming
