company,penalty,lat,lon,city,state
Action Manufacturing Company,1200000,39.9473,-75.9754,Atglen,Pennsylvania
Advanced Sterilization Products,136800,33.6772,-117.7738,Irvine,California
Ag Processing Inc,96588,43.1487,-93.1998,Mason City,Iowa
Agrifos Fertilizer LLC,1800000,29.6584,-95.1499,Pasadena,Texas
Agrifos Fertilizer LLC,385000,29.6584,-95.1499,Pasadena,Texas
"Agrium, Inc.",70000,40.1438,-97.1765,Fairbury,Nebraska
Air Products LLC,1485000,29.6584,-95.1499,Pasadena,Texas
AK Steel Corporation,1650000,38.4592,-82.6449,Ashland,Kentucky
AK Steel Corporation,1300000,42.3127,-83.2129,Dearborn,Michigan
Alcoa Inc.,334000000,30.6543,-97.0088,Rockdale,Texas
Harrah's Chester Casino & Racetrack,63000,39.8456,-75.3719,Chester,Pennsylvania
Appolo Fuel,135000,36.6084,-83.7166,Middlesboro,Kentucky
Ardagh Glass Inc.,225140,42.1477,-71.5167,Milford,Massachusetts
Arizona Public Service Company,3800000,36.7555,-108.1823,Farmington,New Mexico
Asarco LLC,146614,32.9995,-110.7814,Hayden,Arizona
"Bartlett Grain Company, LLC",14560,39.2072,-93.5187,Waverly,Missouri
BASF Corp,1038048,42.2113,-83.1558,Wyandotte,Michigan
Bayer CropScience LP,137790,39.1239,-94.5541,Kansas City,Missouri
Bayer CropScience LP,13900,39.1239,-94.5541,Kansas City,Missouri
"Berkshire Power Company, LLC",3500000,42.0695,-72.6148,Agawam,Massachusetts
Big West Oil LLC,18428000,40.8439,-111.9188,North Salt Lake,Utah
"BOSFuel Corp. and Swissport Fueling, Inc.",90000,42.3188,-71.0846,Boston,Massachusetts
BP North America Inc.,408000000,41.6731,-87.4843,Whiting,Indiana
Brad Foote Gear Works Inc.,1500000,41.8445,-87.7593,Cicero,Illinois
Burlington Environmental,275000,47.3887,-122.2128,Kent,Washington
"C&S Wholesale Grocers, Inc.",126700,42.9494,-72.2997,Keene,New Hampshire
C.A.I. Inc.,1400000,42.574,-70.9494,Danvers,Massachusetts
"Cal-Maine Foods, Inc.",475000,32.3326,-90.6055,Edwards,Mississippi
CalPortland Company,350000,32.4157,-111.1549,Rillito,Arizona
Cardington Yutaka Technologies,1715000,40.498,-82.8937,Cardington,Ohio
Cargill,265000,41.1591,-92.6297,Eddyville,Iowa
Cargill Corporation,45000,33.8841,-117.9279,Fullerton,California
Carmeuse Lime,475000,41.8373,-87.6861,Chicago,Illinois
Cascades Auburn Fiber,65000,44.085,-70.2492,Auburn,Maine
CCS (USA) Inc,2500000,32.4659,-93.7959,Shreveport,Louisiana
"CEMEX, Inc.",1000000,40.2232,-105.2694,Lyons,Colorado
"CEMEX de Puerto Rico, Inc.",1860000,18.012,-66.6198,Ponce,Puerto Rico
Cenex Harvest States (CHS),35200,43.7148,-96.5026,Garretson,South Dakota
CF Industries Inc.,176201500,28.0144,-82.12,Plant City,Florida
